State,City,Climate Type,Weather_File_Name,,,,
Gujarat,Ahmedabad,Hot & Dry,IND_GJ_Ahmedabad-Patel.Intl.AP.426470_ISHRAE2014.epw,,,,
Uttar Pradesh,Allahabad,Composite,IND_UP_Allahabad-Bamrauli.AP.424750_ISHRAE2014.epw,,,,
Punjab,Amritsar,Composite,IND_PB_Amritsar.420710_ISHRAE2014.epw,,,,
Maharashtra,Aurangabad,Hot & Dry,IND_MH_Aurangabad.AP.430140_ISHRAE2014.epw,,,,
Karnataka,Bangalore,Temperate,IND_KA_Bengaluru.432950_ISHRAE2014.epw,,,,
Rajasthan,Barmer,Hot & Dry,IND_RJ_Barmer.424350_ISHRAE2014.epw,,,,
Karnataka,Belgaum,Warm & Humid,IND_KA_Belgaum-Sambre.AP.431980_ISHRAE2014.epw,,,,
Bihar,Bhagalpur,Warm & Humid,IND_BR_Bhagalpur.424980_ISHRAE2014.epw,,,,
Madhya Pradesh,Bhopal,Composite,IND_MP_Bhopal-Bhoj.AP.426670_ISHRAE2014.epw,,,,
Odisha,Bhubaneshwar,Warm & Humid,IND_OR_Bhubaneshwar-Patnaik.Intl.AP.429710_ISHRAE2014.epw,,,,
Rajasthan,Bikaner,Hot & Dry,IND_RJ_Bikaner.421650_ISHRAE2014.epw,,,,p
Tamil Nadu,Chennai,Warm & Humid,IND_TN_Chennai.Intl.AP.432790_ISHRAE2014.epw,,,,
Karnataka,Chitradurga,Warm & Humid,IND_KA_Chitradurga.432330_ISHRAE2014.epw,,,,
Uttarakhand,Dehradun,Composite,IND_UT_Dehradun.421110_ISHRAE2014.epw,,,,
Assam,Dibrugarh,Warm & Humid,IND_AS_Dibrugarh.AP.423140_ISHRAE2014.epw,,,,
Uttar Pradesh,Gorakhpur,Composite,IND_UP_Gorakhpur.423790_ISHRAE2014.epw,,,,
Assam,Guwahati,Warm & Humid,IND_AS_Guwahati-Bordoloi.Intl.AP.424100_ISHRAE2014.epw,,,,
Madhya Pradesh,Gwalior,Composite,IND_MP_Gwalior.423610_ISHRAE2014.epw,,,,
Haryana,Hisar,Composite,IND_HR_Hissar.421310_ISHRAE2014.epw,,,,
Telangana,Hyderabad,Composite,IND_TG_Hyderabad-Gandhi.Intl.AP.431280_ISHRAE2014.epw,,,,
Manipur,Imphal,Warm & Humid,IND_MN_Imphal.426230_ISHRAE2014.epw,,,,
Madhya Pradesh,Indore,Composite,IND_MP_Indore-Holkar.AP.427540_ISHRAE2014.epw,,,,
Madhya Pradesh,Jabalpur,Composite,IND_MP_Jabalpur.426750_ISHRAE2014.epw,,,,
Chhattisgarh,Jagdelpur,Warm & Humid,IND_CT_Jagdalpur.430410_ISHRAE2014.epw,,,,
Rajasthan,Jaipur,Composite,IND_RJ_Jaipur.Intl.AP.423480_ISHRAE2014.epw,,,,
Rajasthan,Jaisalmer,Hot & Dry,IND_RJ_Jaisalmer.423280_ISHRAE2014.epw,,,,
Gujarat,Jamnagar,Warm & Humid,IND_GJ_Jamnagar.427340_ISHRAE2014.epw,,,,
Rajasthan,Jodhpur,Hot & Dry,IND_RJ_Jodhpur.423390_ISHRAE2014.epw,,,,
